blueprint_id,resource,qty
29,Workdays,395.0
29,Plastics,0.26
29,Electro components,0.094
29,Steel,5.8
29,Fabric,0.005
29,Mechanical components,0.65
30,Workdays,599.0
30,Plastics,0.38
30,Electro components,0.15
30,Steel,8.7
30,Fabric,0.19
30,Mechanical components,1.1
31,Workdays,504.0
31,Plastics,0.34
31,Electro components,0.15
31,Steel,7.1
31,Fabric,0.34
31,Mechanical components,1.1
32,Workdays,525.0
32,Plastics,0.32
32,Electro components,0.15
32,Steel,7.5
32,Fabric,0.29
32,Mechanical components,1.1
33,Workdays,751.0
33,Plastics,0.48
33,Electro components,0.19
33,Steel,10.0
33,Fabric,0.47
33,Mechanical components,1.4
34,Workdays,504.0
34,Plastics,0.3
34,Electro components,0.15
34,Steel,7.1
34,Fabric,0.16
34,Mechanical components,1.1
35,Workdays,514.0
35,Plastics,0.31
35,Electro components,0.14
35,Steel,7.3
35,Fabric,0.29
35,Mechanical components,1.1
36,Workdays,409.0
36,Plastics,0.26
36,Electro components,0.11
36,Steel,5.9
36,Fabric,0.18
36,Mechanical components,0.75
37,Workdays,456.0
37,Plastics,0.28
37,Electro components,0.13
37,Steel,6.5
37,Fabric,0.2
37,Mechanical components,0.91
38,Workdays,302.0
38,Plastics,0.18
38,Electro components,0.087
38,Steel,4.3
38,Fabric,0.11
38,Mechanical components,0.65
39,Workdays,543.0
39,Plastics,0.34
39,Electro components,0.14
39,Steel,7.8
39,Fabric,0.14
39,Mechanical components,1.0
40,Workdays,543.0
40,Plastics,0.34
40,Electro components,0.14
40,Steel,7.8
40,Fabric,0.28
40,Mechanical components,1.0
41,Workdays,386.0
41,Plastics,0.25
41,Electro components,0.097
41,Steel,5.6
41,Fabric,0.18
41,Mechanical components,0.69
42,Workdays,106.0
42,Plastics,0.056
42,Electro components,0.036
42,Steel,1.4
42,Fabric,0.021
42,Mechanical components,0.29
43,Workdays,139.0
43,Plastics,0.068
43,Electro components,0.053
43,Steel,1.8
43,Fabric,0.025
43,Mechanical components,0.42
44,Workdays,86.0
44,Plastics,0.046
44,Electro components,0.029
44,Steel,1.2
44,Fabric,0.025
44,Mechanical components,0.23
45,Workdays,410.0
45,Plastics,0.26
45,Electro components,0.11
45,Steel,5.9
45,Fabric,0.21
45,Mechanical components,0.75
46,Workdays,90.0
46,Plastics,0.05
46,Electro components,0.029
46,Steel,1.2
46,Fabric,0.025
46,Mechanical components,0.23
47,Workdays,122.0
47,Plastics,0.068
47,Electro components,0.039
47,Steel,1.7
47,Fabric,0.038
47,Mechanical components,0.3
48,Workdays,110.0
48,Plastics,0.064
48,Electro components,0.033
48,Steel,1.5
48,Fabric,0.028
48,Mechanical components,0.25
49,Workdays,102.0
49,Plastics,0.056
49,Electro components,0.034
49,Steel,1.4
49,Fabric,0.025
49,Mechanical components,0.26
50,Workdays,38.0
50,Plastics,0.028
50,Steel,0.6
50,Fabric,0.005
50,Mechanical components,0.042
51,Workdays,28.0
51,Plastics,0.021
51,Steel,0.44
51,Fabric,0.005
51,Mechanical components,0.031
52,Workdays,28.0
52,Plastics,0.021
52,Steel,0.44
52,Fabric,0.005
52,Mechanical components,0.031
53,Workdays,13.0
53,Plastics,0.01
53,Steel,0.21
53,Fabric,0.005
53,Mechanical components,0.015
54,Workdays,17.0
54,Plastics,0.013
54,Steel,0.27
54,Fabric,0.005
54,Mechanical components,0.019
55,Workdays,19.0
55,Plastics,0.014
55,Steel,0.3
55,Fabric,0.005
55,Mechanical components,0.021
56,Workdays,728.0
56,Plastics,0.48
56,Electro components,0.19
56,Steel,10.0
56,Fabric,0.005
56,Mechanical components,1.4
57,Workdays,625.0
57,Plastics,0.38
57,Electro components,0.17
57,Steel,8.9
57,Fabric,0.005
57,Mechanical components,1.3
58,Workdays,608.0
58,Plastics,0.37
58,Electro components,0.17
58,Steel,8.7
58,Fabric,0.005
58,Mechanical components,1.2
59,Workdays,236.0
59,Plastics,0.13
59,Electro components,0.075
59,Steel,3.2
59,Fabric,0.005
59,Mechanical components,0.58
60,Workdays,628.0
60,Plastics,0.38
60,Electro components,0.17
60,Steel,8.9
60,Fabric,0.005
60,Mechanical components,1.3
61,Workdays,525.0
61,Plastics,0.32
61,Electro components,0.15
61,Steel,7.5
61,Fabric,0.005
61,Mechanical components,1.1
62,Workdays,800.0
62,Plastics,0.52
62,Electro components,0.2
62,Steel,11.0
62,Fabric,0.005
62,Mechanical components,1.4
63,Workdays,192.0
63,Plastics,0.11
63,Electro components,0.057
63,Steel,2.7
63,Fabric,0.005
63,Mechanical components,0.43
64,Workdays,279.0
64,Plastics,0.16
64,Electro components,0.086
64,Steel,3.9
64,Fabric,0.005
64,Mechanical components,0.65
65,Workdays,121.0
65,Plastics,0.067
65,Electro components,0.039
65,Steel,1.7
65,Fabric,0.005
65,Mechanical components,0.3
66,Workdays,742.0
66,Plastics,0.46
66,Electro components,0.2
66,Steel,10.0
66,Fabric,0.005
66,Mechanical components,1.4
67,Workdays,787.0
67,Plastics,0.5
67,Electro components,0.2
67,Steel,11.0
67,Fabric,0.005
67,Mechanical components,1.4
68,Workdays,90.0
68,Plastics,0.05
68,Electro components,0.029
68,Steel,1.2
68,Fabric,0.005
68,Mechanical components,0.23
69,Workdays,472.0
69,Plastics,0.3
69,Electro components,0.12
69,Steel,6.8
69,Fabric,0.005
69,Mechanical components,0.86
70,Workdays,497.0
70,Plastics,0.29
70,Electro components,0.15
70,Steel,6.9
70,Fabric,0.005
70,Mechanical components,1.1
71,Workdays,622.0
71,Plastics,0.38
71,Electro components,0.17
71,Steel,8.8
71,Fabric,0.005
71,Mechanical components,1.3
72,Workdays,536.0
72,Plastics,0.31
72,Electro components,0.16
72,Steel,7.5
72,Fabric,0.005
72,Mechanical components,1.2
73,Workdays,668.0
73,Plastics,0.41
73,Electro components,0.18
73,Steel,9.5
73,Fabric,0.005
73,Mechanical components,1.4
74,Workdays,454.0
74,Plastics,0.27
74,Electro components,0.13
74,Steel,6.4
74,Fabric,0.005
74,Mechanical components,1.0
75,Workdays,489.0
75,Plastics,0.31
75,Electro components,0.13
75,Steel,7.1
75,Fabric,0.005
75,Mechanical components,0.92
76,Workdays,544.0
76,Plastics,0.34
76,Electro components,0.14
76,Steel,7.8
76,Fabric,0.005
76,Mechanical components,1.0
77,Workdays,668.0
77,Plastics,0.42
77,Electro components,0.18
77,Steel,9.6
77,Fabric,0.005
77,Mechanical components,1.3
78,Workdays,739.0
78,Plastics,0.46
78,Electro components,0.2
78,Steel,10.0
78,Fabric,0.005
78,Mechanical components,1.4
79,Workdays,517.0
79,Plastics,0.32
79,Electro components,0.14
79,Steel,7.4
79,Fabric,0.005
79,Mechanical components,0.98
80,Workdays,406.0
80,Plastics,0.24
80,Electro components,0.12
80,Steel,5.7
80,Fabric,0.005
80,Mechanical components,0.89
81,Workdays,542.0
81,Plastics,0.33
81,Electro components,0.15
81,Steel,7.7
81,Fabric,0.005
81,Mechanical components,1.1
82,Workdays,514.0
82,Plastics,0.31
82,Electro components,0.14
82,Steel,7.3
82,Fabric,0.005
82,Mechanical components,1.1
83,Workdays,349.0
83,Plastics,0.22
83,Electro components,0.091
83,Steel,5.0
83,Fabric,0.005
83,Mechanical components,0.66
84,Workdays,83.0
84,Plastics,0.044
84,Electro components,0.029
84,Steel,1.1
84,Fabric,0.005
84,Mechanical components,0.22
85,Workdays,112.0
85,Plastics,0.064
85,Electro components,0.035
85,Steel,1.5
85,Fabric,0.005
85,Mechanical components,0.27
86,Workdays,500.0
86,Plastics,0.31
86,Electro components,0.13
86,Steel,7.2
86,Fabric,0.005
86,Mechanical components,0.96
87,Workdays,406.0
87,Plastics,0.24
87,Electro components,0.12
87,Steel,5.7
87,Fabric,0.005
87,Mechanical components,0.89
88,Workdays,985.0
88,Plastics,0.63
88,Electro components,0.25
88,Steel,14.0
88,Fabric,0.005
88,Mechanical components,1.8
89,Workdays,192.0
89,Plastics,0.11
89,Electro components,0.057
89,Steel,2.7
89,Fabric,0.005
89,Mechanical components,0.43
90,Workdays,231.0
90,Plastics,0.13
90,Electro components,0.075
90,Steel,3.1
90,Fabric,0.005
90,Mechanical components,0.571
91,Workdays,513.0
91,Plastics,0.3
91,Electro components,0.15
91,Steel,7.2
91,Fabric,0.005
91,Mechanical components,1.1
92,Workdays,633.0
92,Plastics,0.39
92,Electro components,0.17
92,Steel,9.0
92,Fabric,0.005
92,Mechanical components,1.3
93,Workdays,552.0
93,Plastics,0.32
93,Electro components,0.16
93,Steel,7.7
93,Fabric,0.005
93,Mechanical components,1.2
94,Workdays,1453.0
94,Plastics,0.98
94,Electro components,0.33
94,Steel,21.0
94,Fabric,0.005
94,Mechanical components,2.2
95,Workdays,279.0
95,Plastics,0.16
95,Electro components,0.086
95,Steel,3.9
95,Fabric,0.005
95,Mechanical components,0.65
96,Workdays,742.0
96,Plastics,0.46
96,Electro components,0.2
96,Steel,10.0
96,Fabric,0.005
96,Mechanical components,1.4
97,Workdays,837.0
97,Plastics,0.54
97,Electro components,0.21
97,Steel,12.0
97,Fabric,0.005
97,Mechanical components,1.5
98,Workdays,646.0
98,Plastics,0.39
98,Electro components,0.18
98,Steel,9.2
98,Fabric,0.005
98,Mechanical components,1.3
99,Workdays,684.0
99,Plastics,0.42
99,Electro components,0.19
99,Steel,9.8
99,Fabric,0.005
99,Mechanical components,1.4
100,Workdays,636.0
100,Plastics,0.39
100,Electro components,0.18
100,Steel,9.0
100,Fabric,0.005
100,Mechanical components,1.3
101,Workdays,439.0
101,Plastics,0.26
101,Electro components,0.13
101,Steel,6.2
101,Fabric,0.005
101,Mechanical components,0.93
102,Workdays,674.0
102,Plastics,0.42
102,Electro components,0.18
102,Steel,9.7
102,Fabric,0.005
102,Mechanical components,1.3
103,Workdays,349.0
103,Plastics,0.22
103,Electro components,0.091
103,Steel,5.0
103,Fabric,0.005
103,Mechanical components,0.66
104,Workdays,454.0
104,Plastics,0.27
104,Electro components,0.13
104,Steel,6.4
104,Fabric,0.005
104,Mechanical components,1.0
105,Workdays,395.0
105,Plastics,0.24
105,Electro components,0.11
105,Steel,5.6
105,Fabric,0.005
105,Mechanical components,0.81
106,Workdays,575.0
106,Plastics,0.36
106,Electro components,0.16
106,Steel,8.2
106,Fabric,0.005
106,Mechanical components,1.1
107,Workdays,542.0
107,Plastics,0.33
107,Electro components,0.15
107,Steel,7.7
107,Fabric,0.005
107,Mechanical components,1.1
108,Workdays,308.0
108,Plastics,0.17
108,Electro components,0.098
108,Steel,4.2
108,Fabric,0.005
108,Mechanical components,0.75
109,Workdays,811.0
109,Plastics,0.53
109,Electro components,0.2
109,Steel,11.0
109,Fabric,0.005
109,Mechanical components,1.4
110,Workdays,695.0
110,Plastics,0.47
110,Electro components,0.16
110,Steel,10.0
110,Fabric,0.004
110,Mechanical components,1.1
111,Workdays,544.0
111,Plastics,0.35
111,Electro components,0.14
111,Steel,7.9
111,Fabric,0.005
111,Mechanical components,0.98
112,Workdays,469.0
112,Plastics,0.32
112,Electro components,0.1
112,Steel,7.0
112,Fabric,0.005
112,Mechanical components,0.68
113,Workdays,483.0
113,Plastics,0.34
113,Electro components,0.098
113,Steel,7.4
113,Fabric,0.005
113,Mechanical components,0.62
114,Workdays,608.0
114,Plastics,0.38
114,Electro components,0.16
114,Steel,8.7
114,Fabric,0.005
114,Mechanical components,1.2
115,Workdays,275.0
115,Plastics,0.16
115,Electro components,0.082
115,Steel,3.8
115,Fabric,0.005
115,Mechanical components,0.62
116,Workdays,497.0
116,Plastics,0.29
116,Electro components,0.15
116,Steel,6.9
116,Fabric,0.005
116,Mechanical components,1.1
117,Workdays,461.0
117,Plastics,0.28
117,Electro components,0.13
117,Steel,6.5
117,Fabric,0.005
117,Mechanical components,0.95
118,Workdays,112.0
118,Plastics,0.064
118,Electro components,0.035
118,Steel,1.5
118,Fabric,0.005
118,Mechanical components,0.27
119,Workdays,121.0
119,Plastics,0.067
119,Electro components,0.039
119,Steel,1.7
119,Fabric,0.005
119,Mechanical components,0.3
120,Workdays,334.0
120,Plastics,0.2
120,Electro components,0.096
120,Steel,4.6
120,Fabric,0.005
120,Mechanical components,0.71
121,Workdays,389.0
121,Plastics,0.24
121,Electro components,0.11
121,Steel,5.6
121,Fabric,0.005
121,Mechanical components,0.77
122,Workdays,95.0
122,Plastics,0.052
122,Electro components,0.032
122,Steel,1.3
122,Fabric,0.005
122,Mechanical components,0.24
123,Workdays,103.0
123,Plastics,0.056
123,Electro components,0.034
123,Steel,1.4
123,Fabric,0.005
123,Mechanical components,0.26
124,Workdays,382.0
124,Plastics,0.24
124,Electro components,0.097
124,Steel,5.5
124,Fabric,0.005
124,Mechanical components,0.69
125,Workdays,459.0
125,Plastics,0.29
125,Electro components,0.12
125,Steel,6.7
125,Fabric,0.005
125,Mechanical components,0.84
126,Workdays,430.0
126,Plastics,0.27
126,Electro components,0.11
126,Steel,6.2
126,Fabric,0.005
126,Mechanical components,0.8
127,Workdays,231.0
127,Plastics,0.13
127,Electro components,0.075
127,Steel,3.1
127,Fabric,0.005
127,Mechanical components,0.57
128,Workdays,554.0
128,Plastics,0.36
128,Electro components,0.14
128,Steel,8.1
128,Fabric,0.005
128,Mechanical components,0.95
129,Workdays,622.0
129,Plastics,0.38
129,Electro components,0.17
129,Steel,8.8
129,Fabric,0.005
129,Mechanical components,1.3
130,Workdays,649.0
130,Plastics,0.39
130,Electro components,0.18
130,Steel,9.2
130,Fabric,0.005
130,Mechanical components,1.3
131,Workdays,619.0
131,Plastics,0.38
131,Electro components,0.17
131,Steel,8.8
131,Fabric,0.005
131,Mechanical components,1.3
132,Workdays,252.0
132,Plastics,0.14
132,Electro components,0.081
132,Steel,3.4
132,Fabric,0.005
132,Mechanical components,0.62
133,Workdays,731.0
133,Plastics,0.46
133,Electro components,0.19
133,Steel,10.0
133,Fabric,0.005
133,Mechanical components,1.4
134,Workdays,837.0
134,Plastics,0.54
134,Electro components,21.0
134,Steel,12.0
134,Fabric,0.005
134,Mechanical components,1.5
135,Workdays,454.0
135,Plastics,0.27
135,Electro components,0.13
135,Steel,6.4
135,Fabric,0.005
135,Mechanical components,1.0
136,Workdays,875.0
136,Plastics,0.55
136,Electro components,0.23
136,Steel,12.0
136,Fabric,0.005
136,Mechanical components,1.7
137,Workdays,395.0
137,Plastics,0.24
137,Electro components,0.11
137,Steel,5.6
137,Fabric,0.005
137,Mechanical components,0.81
138,Workdays,663.0
138,Plastics,0.42
138,Electro components,0.17
138,Steel,9.6
138,Fabric,0.005
138,Mechanical components,1.2
139,Workdays,602.0
139,Plastics,0.38
139,Electro components,0.16
139,Steel,8.6
139,Fabric,0.005
139,Mechanical components,1.2
140,Workdays,308.0
140,Plastics,0.17
140,Electro components,0.098
140,Steel,4.2
140,Fabric,0.005
140,Mechanical components,0.75
141,Workdays,236.0
141,Plastics,0.13
141,Electro components,0.075
141,Steel,3.2
141,Fabric,0.005
141,Mechanical components,0.58
142,Workdays,406.0
142,Plastics,0.24
142,Electro components,0.12
142,Steel,5.7
142,Fabric,0.005
142,Mechanical components,0.89
143,Workdays,635.0
143,Plastics,0.39
143,Electro components,0.17
143,Steel,9.1
143,Fabric,0.005
143,Mechanical components,1.3
144,Workdays,349.0
144,Plastics,0.22
144,Electro components,0.091
144,Steel,5.0
144,Fabric,0.005
144,Mechanical components,0.66
145,Workdays,734.0
145,Plastics,0.47
145,Electro components,0.18
145,Steel,10.0
145,Fabric,0.005
145,Mechanical components,1.3
146,Workdays,839.0
146,Plastics,0.55
146,Electro components,0.2
146,Steel,12.0
146,Fabric,0.005
146,Mechanical components,1.4
147,Workdays,674.0
147,Plastics,0.42
147,Electro components,0.18
147,Steel,9.6
147,Fabric,0.005
147,Mechanical components,1.3
148,Workdays,192.0
148,Plastics,0.11
148,Electro components,0.057
148,Steel,2.7
148,Fabric,0.005
148,Mechanical components,0.43
149,Workdays,231.0
149,Plastics,0.13
149,Electro components,0.075
149,Steel,3.1
149,Fabric,0.005
149,Mechanical components,0.57
150,Workdays,472.0
150,Plastics,0.3
150,Electro components,0.12
150,Steel,6.8
150,Fabric,0.005
150,Mechanical components,0.86
151,Workdays,718.0
151,Plastics,0.45
151,Electro components,0.19
151,Steel,10.0
151,Fabric,0.005
151,Mechanical components,1.4
152,Workdays,90.0
152,Plastics,0.05
152,Electro components,0.029
152,Steel,1.2
152,Fabric,0.005
152,Mechanical components,0.23
153,Workdays,279.0
153,Plastics,0.16
153,Electro components,0.086
153,Steel,3.9
153,Fabric,0.005
153,Mechanical components,0.65
154,Workdays,121.0
154,Plastics,0.067
154,Electro components,0.039
154,Steel,1.7
154,Fabric,0.005
154,Mechanical components,0.3
155,Workdays,497.0
155,Plastics,0.29
155,Electro components,0.15
155,Steel,6.9
155,Fabric,0.005
155,Mechanical components,1.1
156,Workdays,628.0
156,Plastics,0.38
156,Electro components,0.17
156,Steel,8.9
156,Fabric,0.005
156,Mechanical components,1.3
157,Workdays,536.0
157,Plastics,0.31
157,Electro components,0.16
157,Steel,7.5
157,Fabric,0.005
157,Mechanical components,1.2
158,Workdays,454.0
158,Plastics,0.27
158,Electro components,0.13
158,Steel,6.4
158,Fabric,0.005
158,Mechanical components,1.0
159,Workdays,636.0
159,Plastics,0.39
159,Electro components,0.18
159,Steel,9.0
159,Fabric,0.005
159,Mechanical components,1.3
160,Workdays,742.0
160,Plastics,0.46
160,Electro components,0.2
160,Steel,10.0
160,Fabric,0.005
160,Mechanical components,1.4
161,Workdays,738.0
161,Plastics,0.46
161,Electro components,0.19
161,Steel,10.0
161,Fabric,0.005
161,Mechanical components,1.4
162,Workdays,607.0
162,Plastics,0.36
162,Electro components,0.17
162,Steel,8.6
162,Fabric,0.005
162,Mechanical components,1.3
163,Workdays,511.0
163,Plastics,0.32
163,Electro components,0.14
163,Steel,7.4
163,Fabric,0.005
163,Mechanical components,0.98
164,Workdays,875.0
164,Plastics,0.55
164,Electro components,0.23
164,Steel,12.0
164,Fabric,0.005
164,Mechanical components,1.7
165,Workdays,445.0
165,Plastics,0.28
165,Electro components,0.12
165,Steel,6.4
165,Fabric,0.005
165,Mechanical components,0.87
166,Workdays,544.0
166,Plastics,0.34
166,Electro components,0.14
166,Steel,7.8
166,Fabric,0.005
166,Mechanical components,1.0
167,Workdays,608.0
167,Plastics,0.37
167,Electro components,0.17
167,Steel,8.7
167,Fabric,0.005
167,Mechanical components,1.2
168,Workdays,509.0
168,Plastics,0.31
168,Electro components,0.14
168,Steel,7.2
168,Fabric,0.005
168,Mechanical components,1.1
169,Workdays,302.0
169,Plastics,0.17
169,Electro components,0.097
169,Steel,4.1
169,Fabric,0.005
169,Mechanical components,0.75
170,Workdays,406.0
170,Plastics,0.24
170,Electro components,0.12
170,Steel,5.7
170,Fabric,0.005
170,Mechanical components,0.89
171,Workdays,531.0
171,Plastics,0.32
171,Electro components,0.15
171,Steel,7.5
171,Fabric,0.005
171,Mechanical components,1.1
172,Workdays,1286.0
172,Plastics,0.84
172,Electro components,0.31
172,Steel,18.0
172,Fabric,0.005
172,Mechanical components,2.2
173,Workdays,349.0
173,Plastics,0.22
173,Electro components,0.091
173,Steel,5.0
173,Fabric,0.005
173,Mechanical components,0.66
174,Workdays,734.0
174,Plastics,0.47
174,Electro components,0.18
174,Steel,10.0
174,Fabric,0.005
174,Mechanical components,1.3
175,Workdays,112.0
175,Plastics,0.064
175,Electro components,0.035
175,Steel,1.5
175,Fabric,0.005
175,Mechanical components,0.27
176,Workdays,90.0
176,Plastics,0.048
176,Electro components,0.031
176,Steel,1.2
176,Fabric,0.005
176,Mechanical components,0.24
177,Workdays,48.0
177,Plastics,0.036
177,Steel,0.76
177,Fabric,0.035
177,Mechanical components,0.053
178,Workdays,27.0
178,Plastics,0.02
178,Steel,0.43
178,Fabric,0.014
178,Mechanical components,0.03
179,Workdays,22.0
179,Plastics,0.016
179,Steel,0.34
179,Fabric,0.014
179,Mechanical components,0.024
180,Workdays,42.0
180,Plastics,0.031
180,Steel,0.66
180,Fabric,0.042
180,Mechanical components,0.047
181,Workdays,27.0
181,Plastics,0.02
181,Steel,0.43
181,Fabric,0.014
181,Mechanical components,0.03
182,Workdays,307.0
182,Plastics,0.2
182,Electro components,0.075
182,Steel,4.5
182,Fabric,0.005
182,Mechanical components,0.52
183,Workdays,76.0
183,Plastics,0.037
183,Electro components,0.029
183,Steel,0.99
183,Fabric,0.014
183,Mechanical components,0.23
184,Workdays,42.0
184,Plastics,0.023
184,Electro components,0.014
184,Steel,0.58
184,Fabric,0.014
184,Mechanical components,0.11
185,Workdays,64.0
185,Plastics,0.032
185,Electro components,0.024
185,Steel,0.84
185,Fabric,0.014
185,Mechanical components,0.19
186,Workdays,73.0
186,Plastics,0.032
186,Electro components,0.031
186,Steel,0.91
186,Fabric,0.014
186,Mechanical components,0.25
187,Workdays,82.0
187,Plastics,0.044
187,Electro components,0.028
187,Steel,1.1
187,Fabric,0.014
187,Mechanical components,0.22
188,Workdays,88.0
188,Plastics,0.042
188,Electro components,0.034
188,Steel,1.1
188,Fabric,0.014
188,Mechanical components,0.27
189,Workdays,119.0
189,Plastics,0.062
189,Electro components,0.041
189,Steel,1.6
189,Fabric,0.014
189,Mechanical components,0.33
190,Workdays,61.0
190,Plastics,0.03
190,Electro components,0.023
190,Steel,0.79
190,Fabric,0.014
190,Mechanical components,0.18
191,Workdays,71.0
191,Plastics,0.035
191,Electro components,0.027
191,Steel,0.92
191,Fabric,0.014
191,Mechanical components,0.21
192,Workdays,74.0
192,Plastics,0.035
192,Electro components,0.029
192,Steel,0.95
192,Fabric,0.014
192,Mechanical components,0.23
193,Workdays,124.0
193,Plastics,0.056
193,Electro components,0.051
193,Steel,1.6
193,Fabric,0.014
193,Mechanical components,0.41
194,Workdays,45.0
194,Plastics,0.024
194,Electro components,0.015
194,Steel,0.61
194,Fabric,0.014
194,Mechanical components,0.12
195,Workdays,136.0
195,Plastics,0.064
195,Electro components,0.054
195,Steel,1.7
195,Fabric,0.014
195,Mechanical components,0.43
196,Workdays,93.0
196,Plastics,0.041
196,Electro components,0.038
196,Steel,1.2
196,Fabric,0.014
196,Mechanical components,0.31
197,Workdays,174.0
197,Plastics,0.068
197,Electro components,0.08
197,Steel,2.1
197,Fabric,0.014
197,Mechanical components,0.66
198,Workdays,46.0
198,Plastics,0.025
198,Electro components,0.016
198,Steel,0.62
198,Fabric,0.014
198,Mechanical components,0.12
199,Workdays,81.0
199,Plastics,0.038
199,Electro components,0.032
199,Steel,1.0
199,Fabric,0.014
199,Mechanical components,0.26
200,Workdays,73.0
200,Plastics,0.036
200,Electro components,0.027
200,Steel,0.95
200,Fabric,0.014
200,Mechanical components,0.22
201,Workdays,88.0
201,Plastics,0.042
201,Electro components,0.034
201,Steel,1.1
201,Fabric,0.014
201,Mechanical components,0.27
202,Workdays,64.0
202,Plastics,0.032
202,Electro components,0.024
202,Steel,0.84
202,Fabric,0.007
202,Mechanical components,0.19
203,Workdays,82.0
203,Plastics,0.044
203,Electro components,0.028
203,Steel,1.1
203,Fabric,0.007
203,Mechanical components,0.22
204,Workdays,136.0
204,Plastics,0.064
204,Electro components,0.054
